character,male 20-,male 20~30,male 30~40,male 40~50,male 50~60,male 60+,female 20-,female 20~30,female 30~40,female 40~50,female 50~60,female 60+,total male,total female,sex ratio(male/female)
銓,0,2,3,7,1,0,0,0,0,0,0,0,13,0,1000.0
璋,0,1,2,7,3,0,0,0,0,0,0,0,13,0,1000.0
綺,0,0,0,0,0,0,0,1,3,8,1,0,0,13,0.001
億,0,2,2,7,2,0,0,0,0,0,0,0,13,0,1000.0
名,0,2,2,7,1,1,0,0,0,0,0,0,13,0,1000.0
素,0,0,0,0,0,0,0,0,1,3,9,0,0,13,0.001
川,0,0,1,6,3,3,0,0,0,0,0,0,13,0,1000.0
炳,0,0,2,5,3,3,0,0,0,0,0,0,13,0,1000.0
璇,0,0,0,0,0,0,0,0,4,8,1,0,0,13,0.001
海,0,1,3,1,3,1,0,1,1,1,1,0,9,4,0.6
禎,0,1,1,1,3,0,0,0,1,4,2,0,6,7,0.23
其,0,1,6,3,3,0,0,0,0,0,0,0,13,0,1000.0
煒,0,1,3,6,3,0,0,0,0,0,0,0,13,0,1000.0
睿,1,3,2,4,1,1,0,0,0,1,0,0,12,1,3.2
峯,0,1,1,7,2,2,0,0,0,0,0,0,13,0,1000.0
綸,0,0,1,8,2,0,0,0,0,1,0,0,11,1,2.93
帆,0,0,5,3,1,0,0,1,1,1,0,0,9,3,0.8
宥,0,3,0,6,0,0,0,0,2,1,0,0,9,3,0.8
若,0,0,0,2,0,0,0,2,4,1,3,0,2,10,0.05
梅,0,0,0,0,0,0,0,0,0,9,3,0,0,12,0.001
倩,0,0,0,0,0,0,0,0,2,8,2,0,0,12,0.001
人,0,0,1,6,5,0,0,0,0,0,0,0,12,0,1000.0
朝,0,1,0,3,7,1,0,0,0,0,0,0,12,0,1000.0
發,0,0,1,3,6,2,0,0,0,0,0,0,12,0,1000.0
順,0,0,0,7,4,1,0,0,0,0,0,0,12,0,1000.0
長,0,0,2,3,5,2,0,0,0,0,0,0,12,0,1000.0
霆,0,3,3,5,1,0,0,0,0,0,0,0,12,0,1000.0
鋒,0,0,1,6,4,1,0,0,0,0,0,0,12,0,1000.0
巧,0,0,0,1,0,0,0,0,2,7,2,0,1,11,0.02
啓,0,0,3,6,3,0,0,0,0,0,0,0,12,0,1000.0
寧,0,0,0,4,1,0,0,0,3,3,1,0,5,7,0.19
彰,0,0,2,5,5,0,0,0,0,0,0,0,12,0,1000.0
靖,0,3,5,1,1,0,0,0,0,1,1,0,10,2,1.33
融,0,1,4,4,1,0,0,0,2,0,0,0,10,2,1.33
重,0,1,2,6,3,0,0,0,0,0,0,0,12,0,1000.0
群,0,0,2,7,2,0,0,0,0,0,0,0,11,0,1000.0
守,0,0,0,4,5,2,0,0,0,0,0,0,11,0,1000.0
心,0,0,0,1,0,0,0,0,1,7,2,0,1,10,0.03
賓,0,0,3,6,2,0,0,0,0,0,0,0,11,0,1000.0
鼎,0,1,3,4,2,1,0,0,0,0,0,0,11,0,1000.0
之,0,0,1,7,1,0,0,1,0,1,0,0,9,2,1.2
至,0,1,4,4,2,0,0,0,0,0,0,0,11,0,1000.0
貞,0,0,0,0,1,0,0,1,0,3,6,0,1,10,0.03
棋,0,0,2,3,5,0,0,0,0,1,0,0,10,1,2.67
竣,0,0,7,4,0,0,0,0,0,0,0,0,11,0,1000.0
南,0,0,2,2,1,3,0,1,0,0,2,0,8,3,0.71
克,0,0,1,5,4,1,0,0,0,0,0,0,11,0,1000.0
琦,0,0,0,2,3,0,0,0,0,4,2,0,5,6,0.22
勤,0,0,2,4,0,1,0,0,1,2,1,0,7,4,0.47
呈,0,1,3,5,1,1,0,0,0,0,0,0,11,0,1000.0
諭,0,2,4,3,1,0,0,0,0,1,0,0,10,1,2.67
凡,0,1,1,4,0,0,0,0,2,2,0,0,6,4,0.4
暉,0,2,3,3,1,1,0,0,0,0,0,0,10,0,1000.0
竹,0,2,2,4,0,0,0,1,1,0,0,0,8,2,1.07
毓,0,1,1,0,3,0,0,1,2,1,1,0,5,5,0.27
妤,0,0,0,0,0,0,0,1,6,3,0,0,0,10,0.001
登,0,0,5,3,1,1,0,0,0,0,0,0,10,0,1000.0
然,0,0,2,3,4,0,0,0,0,1,0,0,9,1,2.4
桂,0,0,0,3,3,0,0,0,1,2,1,0,6,4,0.4
有,0,1,0,4,2,2,0,0,1,0,0,0,9,1,2.4
堂,0,0,0,5,4,1,0,0,0,0,0,0,10,0,1000.0
恆,0,1,1,2,3,1,0,1,0,0,1,0,8,2,1.07
誼,1,0,2,1,0,0,0,2,2,2,0,0,4,6,0.18
惟,0,3,4,3,0,0,0,0,0,0,0,0,10,0,1000.0
宣,0,2,2,1,1,0,0,0,1,2,1,0,6,4,0.4
謙,0,1,2,6,0,1,0,0,0,0,0,0,10,0,1000.0
麒,0,1,3,5,1,0,0,0,0,0,0,0,10,0,1000.0
綱,0,1,2,5,2,0,0,0,0,0,0,0,10,0,1000.0
